policy_id,title,sector,region,year,target_group,status,funding_million_usd,stakeholders,impact_score,summary,goals,full_text,text_for_nlp
P1422,District Primary Education Reform 88,Vocational,Kerala,2018,Disadvantaged Groups,Under Review,35.45,"Ministry of Education, Local NGOs",0.651,This policy aims to improve learning outcomes in Vocational through scholarship schemes in Kerala.,Increase reach by 18% in 5 years.,This policy aims to improve learning outcomes in Vocational through scholarship schemes in Kerala. Goals: Increase reach by 18% in 5 years.,"district primary education reform 88. this policy aims to improve learning outcomes in vocational through scholarship schemes in kerala. goals: increase reach by 18% in 5 years.. stakeholders: ministry of education, local ngos"
P1207,National Primary Education Reform 56,Primary,Gujarat,2024,Women,Proposed,73.29,"State Education Department, Private Partners",0.206,This policy aims to improve vocational skills in Primary through teacher training programs in Gujarat.,Increase reach by 5% in 2 years.,This policy aims to improve vocational skills in Primary through teacher training programs in Gujarat. Goals: Increase reach by 5% in 2 years.,"national primary education reform 56. this policy aims to improve vocational skills in primary through teacher training programs in gujarat. goals: increase reach by 5% in 2 years.. stakeholders: state education department, private partners"
P1283,State Vocational Education Reform 23,Primary,Tamil Nadu,2017,Disadvantaged Groups,Proposed,0.12,"Teachers' Unions, Community Leaders",0.595,This policy aims to improve infrastructure in Primary through teacher training programs in Tamil Nadu.,Increase reach by 21% in 1 years.,This policy aims to improve infrastructure in Primary through teacher training programs in Tamil Nadu. Goals: Increase reach by 21% in 1 years.,"state vocational education reform 23. this policy aims to improve infrastructure in primary through teacher training programs in tamil nadu. goals: increase reach by 21% in 1 years.. stakeholders: teachers' unions, community leaders"
P1255,State Primary Education Reform 20,Secondary,Uttar Pradesh,2020,Urban Students,Pilot,9.75,"State Education Department, Private Partners",0.793,This policy aims to improve digital access in Secondary through digital device distribution in Uttar Pradesh.,Increase reach by 16% in 3 years.,This policy aims to improve digital access in Secondary through digital device distribution in Uttar Pradesh. Goals: Increase reach by 16% in 3 years.,"state primary education reform 20. this policy aims to improve digital access in secondary through digital device distribution in uttar pradesh. goals: increase reach by 16% in 3 years.. stakeholders: state education department, private partners"
P1413,National Early Childhood Education Reform 62,Primary,Tamil Nadu,2023,All,Under Review,0.31,"EdTech Companies, Universities",0.892,This policy aims to improve learning outcomes in Primary through teacher training programs in Tamil Nadu.,Increase reach by 35% in 1 years.,This policy aims to improve learning outcomes in Primary through teacher training programs in Tamil Nadu. Goals: Increase reach by 35% in 1 years.,"national early childhood education reform 62. this policy aims to improve learning outcomes in primary through teacher training programs in tamil nadu. goals: increase reach by 35% in 1 years.. stakeholders: edtech companies, universities"
P1005,National Higher Education Education Reform 46,Secondary,Delhi,2025,Disadvantaged Groups,Proposed,13.01,"State Education Department, Private Partners",0.245,This policy aims to improve digital access in Secondary through digital device distribution in Delhi.,Increase reach by 40% in 2 years.,This policy aims to improve digital access in Secondary through digital device distribution in Delhi. Goals: Increase reach by 40% in 2 years.,"national higher education education reform 46. this policy aims to improve digital access in secondary through digital device distribution in delhi. goals: increase reach by 40% in 2 years.. stakeholders: state education department, private partners"
P1257,State Vocational Education Reform 50,Primary,Karnataka,2023,Teachers,Under Review,4.51,"EdTech Companies, Universities",0.27,This policy aims to improve vocational skills in Primary through grants to schools in Karnataka.,Increase reach by 20% in 2 years.,This policy aims to improve vocational skills in Primary through grants to schools in Karnataka. Goals: Increase reach by 20% in 2 years.,"state vocational education reform 50. this policy aims to improve vocational skills in primary through grants to schools in karnataka. goals: increase reach by 20% in 2 years.. stakeholders: edtech companies, universities"
P1449,National Vocational Education Reform 47,Vocational,Punjab,2015,Rural Students,Under Review,14.72,"Ministry of Education, Local NGOs",0.599,This policy aims to improve infrastructure in Vocational through teacher training programs in Punjab.,Increase reach by 26% in 2 years.,This policy aims to improve infrastructure in Vocational through teacher training programs in Punjab. Goals: Increase reach by 26% in 2 years.,"national vocational education reform 47. this policy aims to improve infrastructure in vocational through teacher training programs in punjab. goals: increase reach by 26% in 2 years.. stakeholders: ministry of education, local ngos"
P1101,State Vocational Education Reform 17,Early Childhood,Maharashtra,2019,Women,Pilot,85.05,"EdTech Companies, Universities",0.183,This policy aims to improve vocational skills in Early Childhood through curriculum reform in Maharashtra.,Increase reach by 37% in 3 years.,This policy aims to improve vocational skills in Early Childhood through curriculum reform in Maharashtra. Goals: Increase reach by 37% in 3 years.,"state vocational education reform 17. this policy aims to improve vocational skills in early childhood through curriculum reform in maharashtra. goals: increase reach by 37% in 3 years.. stakeholders: edtech companies, universities"
P1227,District Vocational Education Reform 1,Higher Education,Punjab,2018,All,Implemented,77.36,"Teachers' Unions, Community Leaders",0.153,This policy aims to improve infrastructure in Higher Education through scholarship schemes in Punjab.,Increase reach by 14% in 1 years.,This policy aims to improve infrastructure in Higher Education through scholarship schemes in Punjab. Goals: Increase reach by 14% in 1 years.,"district vocational education reform 1. this policy aims to improve infrastructure in higher education through scholarship schemes in punjab. goals: increase reach by 14% in 1 years.. stakeholders: teachers' unions, community leaders"
P1430,District Early Childhood Education Reform 31,Vocational,West Bengal,2016,All,Under Review,0.31,"Central Government, Donors",0.96,This policy aims to improve learning outcomes in Vocational through grants to schools in West Bengal.,Increase reach by 26% in 1 years.,This policy aims to improve learning outcomes in Vocational through grants to schools in West Bengal. Goals: Increase reach by 26% in 1 years.,"district early childhood education reform 31. this policy aims to improve learning outcomes in vocational through grants to schools in west bengal. goals: increase reach by 26% in 1 years.. stakeholders: central government, donors"
